སྲས་
ཤཱཀྱ
བདོ
བརྒྱ་ ཕྲག་
བཀའ་ གདམས་པ་
སྐྱོ་ ཤེས་
བྱང་ཆུབ་ ཀྱི་ སེམས་
བྱང་ཆུབ་ཀྱི་ སེམས་
སེམས་ དཔའ་
བྱང་ཆུབ་སེམས་ དཔའ་
བག་ ཕེབས་
སྐྱེད་ མོའི་ ཚལ་
ཞེན་ ལོག་
བྱང་ཆུབ་ སེམས་
ཁ་ རག་པ་
ཅིག་ ཆར་
བསོད་ སྙོམ་
མིག་ ལོང་
དཔལ་ སྤྲུལ་
གྲྭ་ ས་
ཆོས་ མཐུན་
ངང་ ངམ་
འགོག་ཐབས་
བརྩམ་བྱ་
དུས་
སྙིང་རེ་རྗེ་
འབྲོམ་ སྟོན་པ་
ཨ་ ཏི་ ཤ
མི་གཙོ་
ཉམས་བཞེས་
མ་རྟོགས་
ཅི
གསལ་
སོ་སོ་བ
སོ་བདུན་
སློབ་ལམ་
གཞུང་
ཤོ་ལོ་ཀ་
སྤྱན་རས་གཟིགས་
ཤེས་
ན་མོ་ལོ་ཀི་ཤྭ་ར་ཡ་
མདོར་བསྟན
མ
དུ
ཇི་སྐད་དུ
ལོ
སོ་གཉིས་
མ་ གྱུར་པ་
མི་འགྲུབ་པ་
མ་ཐོབ་
མ་ཡིན་
མ་ཡིན་
པུ་ཏོ་བ
མ་ གྱུར་པ་
མི་འགྲུབ་པ་
མ་ཐོབ་
མ་ཡིན་
མ་ཡིན་
པུ་ཏོ་བ
མ་ གྱུར་པ་
མི་འགྲུབ་པ་
མ་ཐོབ་
མ་ཡིན་
མ་ཡིན་
པུ་ཏོ་བ
མི་ བརྟན་པ་
མི་ འདོད་
མ་ མཆིས་
ཕ་ དམ་པ་
བཟའ་ ཚང་
མ་ བྱེད་
ཏིང་ རི་བ་
གནས་རིས་
ཆས་
མ་ འཆུག་
མི་ འཆི་
བྱ་ བཞག་
མི་ མཛའ་
ཤོར་
རྣམ་པར་ ཤེས་པ་
མི་ འདུག་
རྡར་ མ་
